IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.144.194.216,443,443,true,FRA,Europe,Frankfurt,271,4.91
141.148.241.91,443,443,true,FRA,Europe,Frankfurt,258,4.91
158.101.212.9,443,443,true,FRA,Europe,Frankfurt,349,4.90
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,113,4.86
129.159.47.255,443,443,true,SJC,North America,San Jose,293,4.86
141.147.92.215,443,443,true,FRA,Europe,Frankfurt,319,4.84
143.47.224.26,443,443,true,FRA,Europe,Frankfurt,267,4.82
150.230.117.138,443,443,true,FRA,Europe,Frankfurt,317,4.79
150.230.119.37,443,443,true,FRA,Europe,Frankfurt,275,4.74
143.47.229.25,443,443,true,FRA,Europe,Frankfurt,273,4.74
132.226.130.233,443,443,true,FRA,Europe,Frankfurt,263,4.72
152.67.133.176,443,443,true,FRA,Europe,Frankfurt,280,4.69
152.67.139.13,443,443,true,FRA,Europe,Frankfurt,350,4.69
140.238.214.178,443,443,true,MXP,Europe,Milan,184,4.68
150.230.114.32,443,443,true,FRA,Europe,Frankfurt,327,4.63
193.123.35.249,443,443,true,FRA,Europe,Frankfurt,259,4.63
152.67.138.160,443,443,true,FRA,Europe,Frankfurt,268,4.62
150.230.20.140,443,443,true,FRA,Europe,Frankfurt,255,4.61
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,265,4.60
143.47.254.185,443,443,true,FRA,Europe,Frankfurt,261,4.57
141.145.199.188,443,443,true,CDG,Europe,Paris,204,4.54
132.226.215.222,443,443,true,FRA,Europe,Frankfurt,305,4.53
129.146.254.39,443,443,true,LAX,North America,Los Angeles,192,4.52
146.235.192.207,443,443,true,SJC,North America,San Jose,203,4.45
152.70.155.147,2086,2086,false,LAX,North America,Los Angeles,258,4.45
152.67.231.219,443,443,true,SJC,North America,San Jose,175,4.38
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,246,4.38
141.148.243.77,443,443,true,FRA,Europe,Frankfurt,289,4.38
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,72,4.37
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,177,4.36
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,327,4.35
84.8.157.16,443,443,true,FRA,Europe,Frankfurt,357,4.33
143.47.241.15,443,443,true,FRA,Europe,Frankfurt,308,4.28
143.47.237.18,443,443,true,FRA,Europe,Frankfurt,307,4.27
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,165,4.25
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,321,4.24
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,247,4.23
150.230.123.143,443,443,true,FRA,Europe,Frankfurt,268,4.22
155.248.202.141,443,443,true,SJC,North America,San Jose,241,4.22
150.230.125.211,443,443,true,FRA,Europe,Frankfurt,295,4.18
89.168.112.160,443,443,true,FRA,Europe,Frankfurt,322,4.17
130.162.252.228,443,443,true,FRA,Europe,Frankfurt,249,4.15
144.24.182.32,443,443,true,FRA,Europe,Frankfurt,250,4.15
141.147.28.253,443,443,true,FRA,Europe,Frankfurt,318,4.10
141.147.68.181,443,443,true,FRA,Europe,Frankfurt,266,4.09
138.2.226.15,443,443,true,SJC,North America,San Jose,219,4.08
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,245,4.04
130.162.240.48,443,443,true,FRA,Europe,Frankfurt,315,4.03
138.2.140.60,443,443,true,FRA,Europe,Frankfurt,330,4.03
130.61.192.134,443,443,true,FRA,Europe,Frankfurt,249,4.02
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,246,3.98
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,252,3.97
141.147.52.148,443,443,true,FRA,Europe,Frankfurt,317,3.96
158.180.39.92,443,443,true,FRA,Europe,Frankfurt,333,3.95
89.168.108.190,443,443,true,FRA,Europe,Frankfurt,326,3.94
138.2.157.143,443,443,true,FRA,Europe,Frankfurt,323,3.94
129.146.213.36,80,443,true,LAX,North America,Los Angeles,254,3.93
158.180.231.216,443,443,true,MRS,Europe,Marseille,324,3.92
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,664,3.92
146.56.133.140,2083,80,false,NRT,Asia Pacific,Tokyo,107,3.90
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,249,3.90
138.3.247.226,443,443,true,FRA,Europe,Frankfurt,318,3.90
144.24.180.111,443,443,true,FRA,Europe,Frankfurt,249,3.89
89.168.109.103,443,443,true,FRA,Europe,Frankfurt,247,3.88
138.3.253.140,8080,8080,false,FRA,Europe,Frankfurt,310,3.87
89.168.114.232,443,443,true,FRA,Europe,Frankfurt,326,3.86
138.2.166.231,443,443,true,FRA,Europe,Frankfurt,317,3.86
138.2.157.200,443,443,true,FRA,Europe,Frankfurt,330,3.85
89.168.97.216,443,443,true,FRA,Europe,Frankfurt,329,3.85
89.168.114.223,443,443,true,FRA,Europe,Frankfurt,323,3.84
